CountryCode,ISO,Country,Cons_region
22,ABW,Aruba,
2,AFG,Afghanistan,
7,AGO,Angola,
258,AIA,Anguilla,
3,ALB,Albania,
6,AND,Andorra,
151,ANT,Netherlands Antilles,
225,ARE,United Arab Emirates,
9,ARG,Argentina,
1,ARM,Armenia,
5,ASM,American Samoa,
30,ATA,Antarctica,
8,ATG,Antigua and Barbuda,
10,AUS,Australia,
11,AUT,Austria,EU_UK
52,AZE,Azerbaijan,
29,BDI,Burundi,
255,BEL,Belgium,EU_UK
15,BEL,Belgium-Luxembourg,EU_UK
53,BEN,Benin,
278,BES,"Bonaire, Sint Eustatius and Saba",
233,BFA,Burkina Faso,
16,BGD,Bangladesh,
27,BGR,Bulgaria,EU_UK
13,BHR,Bahrain,
12,BHS,Bahamas,
80,BIH,Bosnia and Herzegovina,
57,BLR,Belarus,
23,BLZ,Belize,
17,BMU,Bermuda,
19,BOL,Bolivia (Plurinational State of),
21,BRA,Brazil,
14,BRB,Barbados,
26,BRN,Brunei Darussalam,
18,BTN,Bhutan,
20,BWA,Botswana,
31,BVT,Bouvet Island,
37,CAF,Central African Republic,
33,CAN,Canada,
43,CCK,Cocos (Keeling) Islands,
211,CHE,Switzerland,
259,CHI,Channel Islands,
40,CHL,Chile,
41,CHN,"China, mainland",China
107,CIV,Côte d'Ivoire,
32,CMR,Cameroon,
250,COD,Democratic Republic of the Congo,
46,COG,Congo,
47,COK,Cook Islands,
44,COL,Colombia,
45,COM,Comoros,
35,CPV,Cabo Verde,
48,CRI,Costa Rica,
51,CSK,Czechoslovakia,
49,CUB,Cuba,
279,CUW,Curaçao,
42,CXR,Christmas Island,
36,CYM,Cayman Islands,
50,CYP,Cyprus,EU_UK
167,CZE,Czech Republic,EU_UK
79,DEU,Germany,EU_UK
72,DJI,Djibouti,
55,DMA,Dominica,
54,DNK,Denmark,EU_UK
56,DOM,Dominican Republic,
4,DZA,Algeria,
58,ECU,Ecuador,
59,EGY,Egypt,
178,ERI,Eritrea,
205,ESH,Western Sahara,
203,ESP,Spain,EU_UK
63,EST,Estonia,EU_UK
238,ETH,Ethiopia,
67,FIN,Finland,EU_UK
66,FJI,Fiji,
65,FLK,Falkland Islands (Malvinas),
68,FRA,France,EU_UK
64,FRO,Faroe Islands,
145,FSM,Micronesia (Federated States of),
74,GAB,Gabon,
229,GBR,United Kingdom,EU_UK
73,GEO,Georgia,
81,GHA,Ghana,
82,GIB,Gibraltar,
90,GIN,Guinea,
87,GLP,Guadeloupe,
75,GMB,Gambia,
175,GNB,Guinea-Bissau,
61,GNQ,Equatorial Guinea,
84,GRC,Greece,EU_UK
86,GRD,Grenada,
85,GRL,Greenland,
89,GTM,Guatemala,
69,GUF,French Guiana,
88,GUM,Guam,
91,GUY,Guyana,
96,HKG,"China, Hong Kong SAR",China
95,HND,Honduras,
98,HRV,Croatia,EU_UK
93,HTI,Haiti,
97,HUN,Hungary,EU_UK
101,IDN,Indonesia,
264,IMN,Isle of Man,
100,IND,India,
24,IOT,British Indian Ocean Territory,
104,IRL,Ireland,EU_UK
102,IRN,Iran (Islamic Republic of),
103,IRQ,Iraq,
99,ISL,Iceland,
105,ISR,Israel,
106,ITA,Italy,EU_UK
109,JAM,Jamaica,
283,JEY,Jersey,
112,JOR,Jordan,
110,JPN,Japan,
108,KAZ,Kazakhstan,
114,KEN,Kenya,
113,KGZ,Kyrgyzstan,
115,KHM,Cambodia,
83,KIR,Kiribati,
188,KNA,St. Kitts and Nevis,
117,KOR,Republic of Korea,
275,KSV,Kosovo,
118,KWT,Kuwait,
120,LAO,Lao People's Democratic Republic,
121,LBN,Lebanon,
123,LBR,Liberia,
124,LBY,Libya,
189,LCA,Saint Lucia,
125,LIE,Liechtenstein,
38,LKA,Sri Lanka,
122,LSO,Lesotho,
126,LTU,Lithuania,EU_UK
256,LUX,Luxembourg,EU_UK
119,LVA,Latvia,EU_UK
128,MAC,"China, Macao SAR",
281,MAF,Saint-Martin (French Part),
143,MAR,Morocco,
140,MCO,Monaco,
146,MDA,Republic of Moldova,
129,MDG,Madagascar,
132,MDV,Maldives,
138,MEX,Mexico,
127,MHL,Marshall Islands,
154,MKD,The former Yugoslav Republic of Macedonia,
133,MLI,Mali,
134,MLT,Malta,EU_UK
28,MMR,Myanmar,
273,MNE,Montenegro,
141,MNG,Mongolia,
163,MNP,Northern Mariana Islands,
144,MOZ,Mozambique,
136,MRT,Mauritania,
142,MSR,Montserrat,
135,MTQ,Martinique,
137,MUS,Mauritius,
130,MWI,Malawi,
131,MYS,Malaysia,
270,MYT,Mayotte,
147,NAM,Namibia,
153,NCL,New Caledonia,
158,NER,Niger,
161,NFK,Norfolk Island,
159,NGA,Nigeria,
157,NIC,Nicaragua,
160,NIU,Niue,
150,NLD,Netherlands,EU_UK
162,NOR,Norway,
149,NPL,Nepal,
148,NRU,Nauru,
156,NZL,New Zealand,
221,OMN,Oman,
165,PAK,Pakistan,
166,PAN,Panama,
172,PCN,Pitcairn Islands,
170,PER,Peru,
171,PHL,Philippines,
180,PLW,Palau,
168,PNG,Papua New Guinea,
173,POL,Poland,EU_UK
116,PRK,Democratic People's Republic of Korea,
174,PRT,Portugal,EU_UK
169,PRY,Paraguay,
299,PSE,Occupied Palestinian Territory,
70,PYF,French Polynesia,
179,QAT,Qatar,
182,REU,Réunion,
183,ROU,Romania,EU_UK
5000,ROW,World,
185,RUS,Russian Federation,
184,RWA,Rwanda,
194,SAU,Saudi Arabia,
206,SDN,Sudan,
195,SEN,Senegal,
200,SGP,Singapore,
187,SHN,St. Helena,
260,SJM,Svalbard and Jan Mayen Islands,
25,SLB,Solomon Islands,
197,SLE,Sierra Leone,
60,SLV,El Salvador,
192,SMR,San Marino,
201,SOM,Somalia,
190,SPM,St. Pierre and Miquelon,
272,SRB,Serbia,
186,SRB,Serbia and Montenegro,
248,SRB,Yugoslav SFR,
277,SSD,South Sudan,
193,STP,Sao Tome and Principe,
207,SUR,Suriname,
210,SWE,Sweden,EU_UK
199,SVK,Slovakia,EU_UK
198,SVN,Slovenia,EU_UK
209,SWZ,Swaziland,
280,SXM,Sint Maarten (Dutch Part),
196,SYC,Seychelles,
212,SYR,Syrian Arab Republic,
224,TCA,Turks and Caicos Islands,
39,TCD,Chad,
217,TGO,Togo,
216,THA,Thailand,
208,TJK,Tajikistan,
218,TKL,Tokelau,
213,TKM,Turkmenistan,
176,TLS,Timor-Leste,
219,TON,Tonga,
220,TTO,Trinidad and Tobago,
222,TUN,Tunisia,
223,TUR,Turkey,
227,TUV,Tuvalu,
214,TWN,"China, Taiwan Province of",
215,TZA,United Republic of Tanzania,
226,UGA,Uganda,
230,UKR,Ukraine,
234,URY,Uruguay,
177,USA,Puerto Rico,
231,USA,United States of America,USA
228,USR,USSR,
235,UZB,Uzbekistan,
94,VAT,Holy See,
191,VCT,St. Vincent and the Grenadines,
236,VEN,Venezuela (Bolivarian Republic of),
239,VGB,British Virgin Islands,
240,VIR,United States Virgin Islands,
243,WLF,Wallis and Futuna Islands,
237,VNM,Viet Nam,
244,WSM,Samoa,
155,VUT,Vanuatu,
249,YEM,Yemen,
247,YMD,Yemen Dem,
202,ZAF,South Africa,
251,ZMB,Zambia,
181,ZWE,Zimbabwe,
5100,,Africa,
284,,Åland Islands,
5200,,Americas,
5848,,Annex I countries,
5600,,Antarctic Region,
5300,,Asia,
5501,,Australia & New Zealand,
5206,,Caribbean,
5204,,Central America,
5301,,Central Asia,
5306,,Central Asia and Southern Asia,
357,,China (exc. Hong Kong & Macao),
5854,,East Asia (exc China),
5101,,Eastern Africa,
5302,,Eastern Asia,
5307,,Eastern Asia and South-eastern Asia,
5401,,Eastern Europe,
5400,,Europe,
5706,,European Union,
71,,French Southern and Antarctic Territories,
78,,Germany Fr,
77,,Germany Nl,
92,,Heard and McDonald Islands,
5802,,Land Locked Developing Countries,
5205,,Latin America and the Caribbean,
5801,,Least Developed Countries,
5858,,Low income economies,
5815,,Low Income Food Deficit Countries,
5859,,Lower-middle-income economies,
5502,,Melanesia,
5102,,Middle Africa,
139,,Midway Island,
5817,,Net Food Importing Developing Countries,
5849,,Non-Annex I countries,
429,,North Africa (exc Sudan),
5103,,Northern Africa,
5203,,Northern America,
5208,,Northern America and Europe,
5402,,Northern Europe,
5500,,Oceania,
5807,,Oceania excluding Australia and New Zealand,
5873,,OECD,
164,,Pacific Islands Trust Territory,
5504,,Polynesia,
286,,Serbia (exc Kosovo),
5803,,Small Island Developing States,
5207,,South America,
5855,,South Asia (exc India),
271,,South Georgia and the South Sandwich Islands,
5304,,South-Eastern Asia,
5104,,Southern Africa,
5303,,Southern Asia,
5403,,Southern Europe,
420,,Sub-Saharan Africa,
5810,,Sub-Saharan Africa (including Sudan),
232,,US Minor Is.,
242,,Wake Island,
5105,,Western Africa,
5305,,Western Asia,
5308,,Western Asia and Northern Africa,
5404,,Western Europe,
246,,Yemen Ar Rp,
252,,Unspecified,
254,,Unspecified,
